PRODUCTO,COLOR,GENERO,PRODUCTO_BASE64,PRODUCTOS_BASE64
57129091,05,U,IHsgImMiOiAiMDUiLCAiZyI6ICJVIiwgImkiOiAiNTcxMjkwOTEifSA=,IFsgeyAiYyI6ICIwNSIsICJpIjogIjU3MTI5MDkxIn0gXSA=
57119207,43,U,IHsgImMiOiAiNDMiLCAiZyI6ICJVIiwgImkiOiAiNTcxMTkyMDcifSA=,IFsgeyAiYyI6ICI0MyIsICJpIjogIjU3MTE5MjA3In0gXSA=
57119202,02,U,IHsgImMiOiAiMDIiLCAiZyI6ICJVIiwgImkiOiAiNTcxMTkyMDIifSA=,IFsgeyAiYyI6ICIwMiIsICJpIjogIjU3MTE5MjAyIn0gXSA=
57119202,70,U,IHsgImMiOiAiNzAiLCAiZyI6ICJVIiwgImkiOiAiNTcxMTkyMDIifSA=,IFsgeyAiYyI6ICI3MCIsICJpIjogIjU3MTE5MjAyIn0gXSA=
57119031,43,U,IHsgImMiOiAiNDMiLCAiZyI6ICJVIiwgImkiOiAiNTcxMTkwMzEifSA=,IFsgeyAiYyI6ICI0MyIsICJpIjogIjU3MTE5MDMxIn0gXSA=
57115964,98,M,IHsgImMiOiAiOTgiLCAiZyI6ICJNIiwgImkiOiAiNTcxMTU5NjQifSA=,IFsgeyAiYyI6ICI5OCIsICJpIjogIjU3MTE1OTY0In0gXSA=
57112889,98,M,IHsgImMiOiAiOTgiLCAiZyI6ICJNIiwgImkiOiAiNTcxMTI4ODkifSA=,IFsgeyAiYyI6ICI5OCIsICJpIjogIjU3MTEyODg5In0gXSA=
57109096,02,U,IHsgImMiOiAiMDIiLCAiZyI6ICJVIiwgImkiOiAiNTcxMDkwOTYifSA=,IFsgeyAiYyI6ICIwMiIsICJpIjogIjU3MTA5MDk2In0gXSA=
57109095,02,U,IHsgImMiOiAiMDIiLCAiZyI6ICJVIiwgImkiOiAiNTcxMDkwOTUifSA=,IFsgeyAiYyI6ICIwMiIsICJpIjogIjU3MTA5MDk1In0gXSA=
57109094,43,U,IHsgImMiOiAiNDMiLCAiZyI6ICJVIiwgImkiOiAiNTcxMDkwOTQifSA=,IFsgeyAiYyI6ICI0MyIsICJpIjogIjU3MTA5MDk0In0gXSA=
57109086,76,U,IHsgImMiOiAiNzYiLCAiZyI6ICJVIiwgImkiOiAiNTcxMDkwODYifSA=,IFsgeyAiYyI6ICI3NiIsICJpIjogIjU3MTA5MDg2In0gXSA=
57109030,43,U,IHsgImMiOiAiNDMiLCAiZyI6ICJVIiwgImkiOiAiNTcxMDkwMzAifSA=,IFsgeyAiYyI6ICI0MyIsICJpIjogIjU3MTA5MDMwIn0gXSA=
57109029,01,U,IHsgImMiOiAiMDEiLCAiZyI6ICJVIiwgImkiOiAiNTcxMDkwMjkifSA=,IFsgeyAiYyI6ICIwMSIsICJpIjogIjU3MTA5MDI5In0gXSA=
57109029,76,U,IHsgImMiOiAiNzYiLCAiZyI6ICJVIiwgImkiOiAiNTcxMDkwMjkifSA=,IFsgeyAiYyI6ICI3NiIsICJpIjogIjU3MTA5MDI5In0gXSA=
57109028,01,U,IHsgImMiOiAiMDEiLCAiZyI6ICJVIiwgImkiOiAiNTcxMDkwMjgifSA=,IFsgeyAiYyI6ICIwMSIsICJpIjogIjU3MTA5MDI4In0gXSA=
57099079,OR,U,IHsgImMiOiAiT1IiLCAiZyI6ICJVIiwgImkiOiAiNTcwOTkwNzkifSA=,IFsgeyAiYyI6ICJPUiIsICJpIjogIjU3MDk5MDc5In0gXSA=
57098278,92,M,IHsgImMiOiAiOTIiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTgyNzgifSA=,IFsgeyAiYyI6ICI5MiIsICJpIjogIjU3MDk4Mjc4In0gXSA=
57098272,09,M,IHsgImMiOiAiMDkiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTgyNzIifSA=,IFsgeyAiYyI6ICIwOSIsICJpIjogIjU3MDk4MjcyIn0gXSA=
57097899,02,P,IHsgImMiOiAiMDIiLCAiZyI6ICJQIiwgImkiOiAiNTcwOTc4OTkifSA=,IFsgeyAiYyI6ICIwMiIsICJpIjogIjU3MDk3ODk5In0gXSA=
57097898,99,Q,IHsgImMiOiAiOTkiLCAiZyI6ICJRIiwgImkiOiAiNTcwOTc4OTgifSA=,IFsgeyAiYyI6ICI5OSIsICJpIjogIjU3MDk3ODk4In0gXSA=
57097757,08,U,IHsgImMiOiAiMDgiLCAiZyI6ICJVIiwgImkiOiAiNTcwOTc3NTcifSA=,IFsgeyAiYyI6ICIwOCIsICJpIjogIjU3MDk3NzU3In0gXSA=
57097753,70,M,IHsgImMiOiAiNzAiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTc3NTMifSA=,IFsgeyAiYyI6ICI3MCIsICJpIjogIjU3MDk3NzUzIn0gXSA=
57097752,30,M,IHsgImMiOiAiMzAiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTc3NTIifSA=,IFsgeyAiYyI6ICIzMCIsICJpIjogIjU3MDk3NzUyIn0gXSA=
57097751,99,M,IHsgImMiOiAiOTkiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTc3NTEifSA=,IFsgeyAiYyI6ICI5OSIsICJpIjogIjU3MDk3NzUxIn0gXSA=
57097748,OR,M,IHsgImMiOiAiT1IiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTc3NDgifSA=,IFsgeyAiYyI6ICJPUiIsICJpIjogIjU3MDk3NzQ4In0gXSA=
57097746,20,M,IHsgImMiOiAiMjAiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTc3NDYifSA=,IFsgeyAiYyI6ICIyMCIsICJpIjogIjU3MDk3NzQ2In0gXSA=
57097740,PL,M,IHsgImMiOiAiUEwiLCAiZyI6ICJNIiwgImkiOiAiNTcwOTc3NDAifSA=,IFsgeyAiYyI6ICJQTCIsICJpIjogIjU3MDk3NzQwIn0gXSA=
