PRODUCTO,COLOR,GENERO
37101233,08,U
37101233,02,U
37101233,95,U
37101223,95,U
37101223,08,U
37101223,02,U
37101189,95,U
37101189,08,U
37101189,02,U
37101187,91,U
37101186,91,U
37101180,05,U
37101179,43,U
37101170,43,U
37101156,43,U
37101130,37,U
37101128,57,U
37101128,37,U
37101118,37,U
37101118,57,U
37101111,57,U
37101111,37,U
37101107,37,U
37101107,57,U
37101097,05,U
37101088,95,U
37101088,08,U
37101088,02,U
37101076,TN,M
37101076,TM,M
37101070,99,M
37101009,TO,M
37101009,TM,M
37100838,01,U
37100834,01,U
37100833,01,U
37100832,01,U
37100828,01,U
37100826,01,U
37100825,01,U
37100605,85,E
37100605,94,E
37100453,01,U
37100433,01,U
37100432,01,U
37100429,91,U
37100412,01,U
37100407,01,U
37100406,91,U
37100390,91,U
37100383,01,U
37100375,01,U
37100160,CG,M
37100156,99,M
37100020,99,H
37100015,99,H
37100009,99,H
37099099,99,M
37099098,99,M
37099091,02,M
37099090,99,M
37099087,05,U
37099081,99,M
37099074,30,M
37099063,70,A
37099062,99,M
37098259,91,M
37098258,05,M
37098257,70,U
37098255,37,D
37098254,02,E
37097880,30,M
37097878,99,Q
37097878,08,Q
37097878,91,Q
37097878,78,Q
37097877,37,H
37097877,CU,H
37097877,99,H
37097767,20,M
37097766,30,M
37097765,99,M
37097764,88,M
37097763,11,M
37097762,05,M
37097760,52,M
37097759,TC,M
37097757,43,M
37097757,27,M
37097756,05,M
37097755,57,M
37097754,52,M
37097753,43,M
37097750,85,F
37097750,07,F
37097749,02,E
37097748,99,M
37097748,05,M
37097747,05,M
37097746,03,U
37097745,37,A
37097745,05,A
37097742,27,M
37097740,61,A
37097739,88,M
37097738,05,M
37097737,92,M
37097737,56,M
37097735,99,M
37097734,56,H
37097731,15,D
37097730,99,M
37097729,02,M
37097728,70,U
37097727,43,M
37097726,99,O
37097725,94,O
37097724,99,M
37097724,35,M
37097723,09,M
37097722,52,M
37097720,99,M
37097719,30,U
37097718,06,U
37097716,16,E
37097715,99,M
37097715,85,M
37097714,91,H
37097712,70,U
37097711,20,U
37097710,19,U
37097709,15,H
37097709,95,H
37097709,98,H
37097709,37,H
37097709,07,H
37097709,56,H
37097706,56,H
37097704,32,H
37097702,37,M
37097702,99,M
37097111,85,M
37097111,52,M
37097110,08,M
37097109,32,M
37097108,61,A
37097105,83,A
37096719,52,Q
37096718,52,Q
37096717,99,M
37096716,30,M
37096715,99,M
37096715,02,M
37096714,94,M
37096713,99,Q
37096712,30,U
37096711,69,M
37096710,TM,F
37096709,08,U
37096708,99,M
37096707,30,M
37096704,37,M
37096318,PL,M
37096317,52,A
37096316,99,M
37096315,02,M
37096313,52,F
37096312,70,M
37096311,52,F
37096311,85,F
37096310,99,A
37096309,10,M
37096307,37,Q
37096307,02,Q
37096306,95,M
37096306,35,M
37096305,85,E
37096304,30,O
37096303,53,E
37095969,08,U
37095968,30,M
37095967,12,M
37095966,52,M
37095966,05,M
37095965,65,M
37095964,43,M
37095963,35,M
37095962,99,M
37095961,99,E
37095960,TO,M
37095959,01,M
37095958,99,A
37095957,43,M
37095956,05,M
37095955,56,H
37095955,03,H
37095954,99,M
37095953,OR,M
37095952,92,D
37095951,99,M
37095950,78,M
37095950,99,M
37095949,30,U
37095948,PL,M
37095947,61,M
37095946,02,M
37095945,05,U
37095944,09,M
37095943,99,M
37095942,09,M
37095942,99,M
37095942,03,M
37095942,50,M
37095941,OR,Q
37095940,05,U
37095939,37,M
37095939,90,M
37095939,99,M
37095938,99,M
37095937,98,H
37095935,PL,Q
37095933,OR,Q
37095932,52,M
37095932,28,M
37095931,09,M
37095930,99,M
37095929,99,M
37095928,02,M
37095927,99,M
37095926,09,M
37095926,43,M
37095925,95,M
37095925,20,M
37095924,99,M
37095924,37,M
37095923,90,M
37095922,02,Q
37095921,99,A
37095920,94,M
37095920,84,M
37095919,99,M
37095918,37,H
37095917,30,U
37095916,76,U
37095916,08,U
37095916,35,U
37095915,99,H
37095914,37,H
37095914,92,H
37095914,56,H
37095913,99,H
37095913,56,H
37095912,30,U
37095912,08,U
37095912,35,U
37095911,TM,M
37095910,08,H
37095910,32,H
37095909,30,H
37095908,43,A
37095908,08,A
37095907,36,M
37095907,37,M
37095906,92,M
37095906,30,M
37095906,99,M
37095905,99,M
37095905,56,M
37095904,30,U
37095903,09,H
37095902,56,H
37095902,92,H
37095835,70,M
37095834,91,M
37095832,PL,M
37095831,99,M
37095830,85,A
37095829,OR,M
37095828,OR,M
37095827,30,Q
37095826,99,M
37095824,88,M
37095824,99,M
37095823,99,M
37095822,08,M
37095821,85,M
37095821,99,M
37095820,OR,M
37095819,56,M
37095818,88,M
37095817,02,M
37095816,17,M
37095816,05,M
37095814,99,H
37095813,15,M
37095813,99,M
37095806,99,M
37095147,52,F
37095146,88,M
37095145,70,E
37095144,99,M
37095143,85,A
37095142,52,A
37095141,PL,M
37095140,70,M
37095136,52,P
37095133,30,M
37095132,94,M
37095132,31,M
37095131,TG,M
37095130,02,M
37095130,99,M
37095130,95,M
37095129,56,P
37094773,01,U
37094772,20,M
37094771,99,M
37094770,30,M
37094769,43,O
37094768,02,H
37094767,98,H
37094766,PL,M
37094766,88,M
37094765,01,U
37094764,01,Q
37094764,50,Q
37094764,99,Q
37094763,43,O
37094762,32,H
37094761,96,A
37094759,05,O
37094758,35,F
37094757,85,U
37094756,52,Q
37094756,08,Q
37094755,31,P
37094755,37,P
37094755,99,P
37094754,37,D
37094753,02,A
37094753,81,A
37094753,56,A
37094399,08,M
37094398,05,M
37094397,99,M
37094396,TM,M
37094395,02,M
37094394,05,M
37094393,88,M
37094392,99,M
37094391,88,M
37094391,99,M
37094390,99,M
37094389,05,Q
37094389,40,Q
37094388,68,Q
37094387,99,M
37094386,02,Q
37094385,68,Q
37094384,99,M
37094383,95,P
37094383,43,P
37094382,81,M
37094381,30,M
37094380,28,M
37094380,37,M
37094379,32,M
37094378,99,M
37094066,68,E
37094065,37,M
37094064,05,M
37094063,76,M
37094062,99,H
37094061,32,H
37094060,99,H
37094059,01,H
37094058,99,M
37094057,99,M
37094056,PL,M
37094055,99,M
37094054,05,U
37094054,16,U
37094053,16,U
37094053,05,U
37094051,99,M
37094050,98,A
37094050,02,A
37094049,99,M
37094048,07,A
37094048,94,A
37094047,91,H
37094047,69,H
37094046,05,U
37094045,56,A
37094045,07,A
37094045,99,A
37094045,94,A
37094045,81,A
37094044,05,U
37094043,TG,E
37094042,30,H
37094041,08,M
37094041,02,M
37094041,99,M
37094040,99,M
37094040,30,M
37094039,68,A
37094038,43,U
37094038,52,U
37094037,52,U
37094036,99,M
37094035,99,M
37094035,01,M
37094034,95,E
37094033,99,A
37094031,68,Q
37094029,20,M
37094029,37,M
37094028,09,M
37094027,12,U
37094026,20,H
37094025,01,A
37094023,56,A
37094022,56,U
37094021,76,M
37094021,49,M
37094020,30,U
37094020,85,U
37094019,05,U
37094019,37,U
37094019,19,U
37094018,56,D
37094016,69,H
37094015,94,M
37094015,05,M
37094014,32,M
37094014,05,M
37094013,35,M
37094013,37,M
37094012,85,Q
37094012,99,Q
37094012,02,Q
37094012,52,Q
37094010,12,M
37094010,99,M
37094009,37,H
37094008,99,Q
37094008,91,Q
37094007,99,M
37094006,95,H
37094005,99,M
37094004,91,E
37094003,OR,M
37094002,37,H
37094002,01,H
37094001,BB,M
37093855,85,M
37093854,TO,M
37093853,68,M
37093853,02,M
37093852,85,M
37093851,52,M
37093850,99,M
37093848,TC,M
37093847,88,M
37093846,68,M
37093845,TC,H
37093844,TG,D
37093844,TN,D
37093844,TO,D
37093844,TM,D
37093843,40,F
37093843,81,F
37093842,43,M
37093842,99,M
37093841,99,M
37093841,57,M
37093840,99,M
37093840,05,M
37093840,50,M
37093839,99,M
37093839,07,M
37093838,52,D
37093837,85,M
37093836,56,E
37093835,99,M
37093835,43,M
37093834,09,M
37093834,96,M
37093834,35,M
37093830,TO,M
37093272,08,U
37093271,37,D
37093270,59,F
37093269,TM,E
37093268,94,O
37093267,TC,E
37093267,TM,E
37093267,TN,E
37093265,OR,Q
37093264,35,F
37093263,52,A
37093262,92,Q
37093261,92,Q
37093260,30,Q
37093259,TM,D
37093258,99,Q
37093257,99,Q
37093256,37,O
37093256,15,O
37093255,56,O
37093253,43,O
37093253,56,O
37093253,35,O
37093253,78,O
37093253,91,O
37092887,01,H
37092886,91,F
37092884,08,U
37092883,02,D
37092882,92,F
37092882,52,F
37092882,95,F
37092881,99,M
37092881,69,M
37092880,TM,M
37092879,02,M
37092879,43,M
37092878,99,A
37092877,56,O
37092524,20,M
37092524,99,M
37092523,52,A
37092522,08,U
37092522,09,U
37092521,87,M
37092520,02,E
37092519,99,M
37092518,OR,Q
37092517,09,A
37092516,TM,E
37092515,70,E
37092514,30,U
37092513,56,D
37092513,94,D
37092512,61,M
37092511,52,O
37092510,32,M
37092509,85,E
37092508,15,M
37092508,56,M
37092507,88,M
37092507,40,M
37092507,30,M
37092506,85,M
37092506,50,M
37092505,56,A
37092505,94,A
37092505,99,A
37092505,85,A
37092504,02,M
37092504,56,M
37092504,52,M
37092504,50,M
37092503,99,M
37092502,56,E
37092502,07,E
37092502,92,E
37092501,OR,M
37092007,99,O
37092005,92,F
37092004,32,M
37092003,85,M
37092003,99,M
37092002,TM,A
37092002,TO,A
37092001,99,A
37091504,95,A
37091502,91,M
37091502,82,M
37091502,05,M
37091501,99,A
37091501,94,A
37091501,95,A
37091501,07,A
37091501,65,A
37091501,40,A
37091501,56,A
37091501,85,A
37091324,30,U
37091322,30,U
37091321,45,U
37091318,45,M
37091317,12,M
37091316,08,U
37091316,68,U
37091316,43,U
37091316,52,U
37091315,35,U
37091314,70,Q
37091313,02,M
37091312,52,H
37091311,43,M
37091309,12,M
37091308,02,M
37091307,43,M
37091306,70,M
37091304,TN,M
37091303,15,M
37091302,99,H
37091301,94,U
37091301,08,U
37091301,96,U
37091301,35,U
37091301,83,U
37091301,05,U
