PRODUCTO,COLOR,GENERO
57094026,94,D
57094025,56,A
57094024,30,M
57094024,99,M
57094023,85,A
57094022,69,Q
57094021,99,M
57094020,52,P
57094020,01,P
57094019,30,M
57094019,99,M
57094017,02,Q
57094016,TM,P
57094016,TC,P
57094015,94,Q
57094013,05,M
57094012,05,M
57094012,91,M
57094011,96,Q
57094010,05,M
57094009,99,O
57094009,02,O
57094009,69,O
57094009,91,O
57094008,PL,Q
57094007,99,M
57094007,78,M
57094006,99,Q
57094004,01,H
57094004,99,H
57094004,50,H
57094004,56,H
57094004,37,H
57094004,08,H
57093820,05,M
57093819,01,M
57093818,52,M
57093817,01,M
57093816,80,M
57093815,99,M
57093814,99,M
57093813,05,M
57093811,05,M
57093811,50,M
57093810,08,M
57093810,70,M
57093809,99,M
57093808,99,M
57093808,01,M
57093807,52,M
57093806,37,M
57093805,99,M
57093804,02,M
57093803,95,M
57093802,TN,M
57093801,30,M
57093801,32,M
57093800,95,M
57093800,34,M
57093799,37,M
57093799,76,M
57093798,02,M
57093798,99,M
57093797,65,M
57093797,99,M
57093796,56,M
57093796,88,M
57093796,05,M
57093795,50,M
57093795,99,M
57093794,05,M
57093721,09,M
57093721,99,M
57093275,02,F
57093273,98,M
57093272,05,M
57093271,91,F
57093270,02,E
57093269,85,A
57093268,99,A
57093267,56,O
57093267,01,O
57093266,TO,O
57093266,TM,O
57093266,TN,O
57093265,02,E
57093265,40,E
57093264,08,M
57093263,85,E
57093262,05,A
57093261,91,F
57093261,07,F
57093260,99,M
57093259,02,E
57093258,99,Q
57093257,49,O
57093256,56,A
57093256,99,A
57093256,07,A
57093256,85,A
57093255,TM,D
57093254,07,U
57093254,30,U
57093254,56,U
57093254,01,U
57093253,01,M
57092896,02,M
57092895,OR,M
57092894,99,M
57092892,52,U
57092891,01,M
57092890,99,M
57092890,79,M
57092889,95,Q
57092888,99,M
57092887,95,Q
57092886,46,M
57092886,68,M
57092885,99,M
57092883,07,M
57092881,99,M
57092881,01,M
57092880,01,M
57092879,05,M
57092878,TC,M
57092877,56,D
57092877,37,D
57092526,05,H
57092525,PL,Q
57092524,69,O
57092523,PL,M
57092522,85,E
57092522,56,E
57092521,PL,M
57092520,85,A
57092520,99,A
57092520,95,A
57092520,56,A
57092519,02,O
57092518,69,P
57092517,TN,H
57092516,56,A
57092513,TM,E
57092513,TO,E
57092512,99,M
57092512,32,M
57092511,07,A
57092511,85,A
57092510,99,M
57092510,02,M
57092509,08,H
57092509,56,H
57092507,56,A
57092506,TC,M
57092505,32,M
57092505,10,M
57092504,30,M
57092504,99,M
57092503,20,H
57092502,PL,M
57092003,CU,M
57092002,52,M
57092001,CU,M
57092001,99,M
57091503,01,U
57091502,OR,M
57091501,82,A
57091182,05,H
57091180,01,M
57091179,01,M
57091178,08,U
57091176,30,H
57091175,PL,M
57091175,OR,M
57091174,05,M
57091172,52,M
57091170,02,A
57091169,85,M
57091168,12,A
57091167,45,E
57091166,TM,M
57090830,99,H
57090762,37,M
57090762,99,M
57090450,08,Q
57090027,99,M
57090026,88,M
57090025,02,M
57090025,99,M
57089405,52,U
57088270,98,M
57088267,99,M
57088265,08,M
57088263,92,H
57087762,30,M
57087755,70,M
57087752,PL,M
57087751,99,M
57087750,78,M
57087749,TM,M
57087743,OR,M
57087739,09,M
57087738,PL,M
57087735,CG,M
57087727,99,M
57087725,43,M
57087723,99,M
57087719,TN,M
57087717,DO,M
57087716,99,U
57087715,43,M
57087711,99,M
57087710,30,U
57087708,02,M
57087708,99,M
57087704,09,A
57087702,99,M
57087702,35,M
57087125,99,M
57087121,56,O
57087120,98,M
57087119,03,U
57087117,05,A
57087115,61,A
57087113,99,M
57087112,99,A
57087111,02,O
57087109,99,A
57087109,03,A
57086728,CU,M
57086727,10,M
57086726,PL,M
57086724,02,F
57086723,76,F
57086722,99,A
57086721,99,A
57086720,78,F
57086719,56,D
57086717,08,U
57086717,02,U
57086716,99,O
57086712,99,M
57086711,02,F
57086710,85,F
57086709,76,H
57086709,35,H
57086709,99,H
57086317,99,M
57086315,08,U
57086314,08,M
57086313,95,M
57086311,06,M
57086311,94,M
57086309,99,M
57086308,99,M
57086307,43,M
57086307,56,M
57086307,01,M
57086306,91,M
57086031,31,M
57086030,99,H
57086029,02,U
57086028,43,M
57086028,85,M
57086027,02,M
57086027,56,M
57086025,99,M
57086024,43,M
57086023,99,H
57086023,56,H
57086022,PL,M
57086020,02,M
57086020,99,M
57086019,TN,M
57086018,01,A
57086017,92,M
57086016,56,U
57086015,02,F
57086013,30,M
57086012,08,P
57086011,99,M
57086010,70,M
57086008,69,Q
57086007,56,O
57086006,05,H
57086005,16,A
57086005,68,A
57086004,07,E
57086003,PL,M
57086003,OR,M
57086002,92,D
57086001,17,Q
57086001,99,Q
57086000,99,Q
57085999,69,Q
57085998,95,O
57085997,05,A
57085997,92,A
57085996,56,D
57085995,70,A
57085993,05,M
57085992,69,Q
57085991,96,A
57085990,43,M
57085989,08,M
57085989,37,M
57085987,99,M
57085986,08,U
57085985,99,M
57085984,91,M
57085984,37,M
57085983,65,A
57085982,TM,M
57085981,95,O
57085980,15,U
57085979,TM,O
57085978,37,A
57085978,65,A
57085977,TM,O
57085976,40,M
57085976,81,M
57085975,09,M
57085974,92,Q
57085973,94,D
57085972,05,A
57085970,56,Q
57085969,30,U
57085966,38,H
57085965,09,A
57085964,99,M
57085964,56,M
57085962,09,A
57085961,70,H
57085961,03,H
57085961,56,H
57085961,51,H
57085960,92,Q
57085959,56,H
57085958,99,A
57085957,TU,M
57085956,05,H
57085956,31,H
57085955,56,H
57085954,99,Q
57085953,35,M
57085952,92,Q
57085951,30,H
57085950,08,H
57085950,56,H
57085948,57,H
57085948,37,H
57085948,09,H
57085948,78,H
57085947,30,H
57085947,92,H
57085947,56,H
57085946,99,H
57085945,30,H
57085812,01,U
57085811,94,Q
57085810,99,H
57085809,99,M
57085809,52,M
57085808,56,M
57085807,85,M
57085807,99,M
57085805,57,M
57085804,CU,M
57085803,08,Q
57085802,52,A
57085801,70,M
57085801,99,M
57085800,01,M
57085800,81,M
57085798,50,P
57085797,85,M
57085796,99,M
57085795,92,M
57085795,56,M
57085794,37,M
57085793,90,M
57085793,99,M
57085793,37,M
57085792,43,M
57085791,09,M
57085790,56,M
57085789,77,M
57085788,79,M
57085788,56,M
57085787,05,M
57085787,30,M
57085787,43,M
57085786,01,H
57085786,11,H
57085785,35,M
57085785,05,M
57085149,85,A
57085148,92,M
57085148,99,M
57085147,CU,M
57085146,08,M
57085145,02,A
57085144,52,U
57085144,02,U
57085143,69,O
57085142,99,M
57085141,05,U
57085140,69,Q
57085139,69,D
57085138,99,M
57085137,TM,M
57085136,09,M
57085135,30,P
57085134,99,M
57085133,09,D
57085132,08,P
57085132,69,P
57084782,01,M
57084781,02,A
57084780,94,F
57084779,94,F
57084778,54,U
57084777,TM,U
57084776,56,D
57084775,02,F
57084774,94,F
57084772,56,O
57084771,70,O
57084771,94,O
57084770,03,U
57084769,99,M
57084768,52,Q
57084766,69,Q
57084765,02,O
57084765,69,O
57084764,DI,M
57084763,69,O
57084763,02,O
57084762,59,M
57084761,94,H
57084761,08,H
57084761,57,H
57084760,85,F
57084760,07,F
57084760,91,F
57084759,52,H
57084758,92,Q
57084757,56,A
57084757,07,A
57084757,94,A
57084756,08,H
57084756,56,H
57084434,05,M
57084433,83,M
57084432,99,M
57084431,37,H
57084430,11,M
57084429,02,M
57084427,02,M
57084426,12,M
57084425,TN,M
57084423,82,E
57084422,94,A
57084421,38,H
57084420,56,A
57084419,52,A
57084418,TO,E
57084417,01,M
57084416,TO,A
57084413,51,D
57084411,92,M
57084411,05,M
57084410,56,D
57084409,99,H
57084408,94,M
57084408,37,M
57084408,35,M
57084407,99,M
57084406,43,M
57084405,05,M
57084404,88,M
57084403,09,M
57084403,99,M
57084402,08,M
57084401,95,E
57084400,85,F
57084399,56,H
57084398,05,H
57084397,30,H
57084396,59,M
57084395,99,Q
57084394,65,M
57084394,46,M
57084393,99,Q
57084393,92,Q
57084392,15,D
57084392,56,D
57084391,99,H
57084389,30,M
57084388,99,M
57084388,78,M
57084387,37,A
57084387,92,A
57084386,37,H
57084386,56,H
57084386,59,H
57084385,56,H
57084385,06,H
57084385,99,H
57084385,37,H
57084384,99,H
57084384,CG,H
57084384,37,H
57084040,52,U
57084040,01,U
57084039,50,H
57084038,02,U
57084037,99,M
57084037,91,M
57084036,85,A
57084035,56,M
57084034,99,M
57084033,50,A
57084032,30,U
57084031,95,P
57084031,56,P
57084031,02,P
57084030,05,E
57084029,03,U
57084028,OR,M
57084027,02,D
57084026,94,O
57084025,50,A
57084025,83,A
57084024,52,A
57084023,85,A
57084022,99,A
57084021,99,M
57084020,81,A
57084019,70,M
57084018,99,M
57084018,30,M
57084017,08,P
57084016,56,P
57084014,05,M
57084013,05,M
57084012,TM,A
57084011,07,M
57084011,99,M
57084010,50,F
57084009,99,Q
57084008,43,M
57084008,56,M
57084007,99,M
57084006,99,O
57084006,94,O
57084005,30,D
57084004,99,E
57084004,69,E
57083822,12,H
57083821,35,M
57083821,99,M
57083820,40,M
57083819,01,M
57083818,70,M
57083817,99,M
57083817,05,M
57083817,70,M
57083816,05,M
57083815,02,M
57083814,70,M
57083813,02,M
57083811,37,M
57083811,99,M
57083810,99,M
57083809,99,M
57083808,69,M
57083808,99,M
57083807,43,M
57083807,99,M
57083806,05,M
57083805,43,M
57083805,02,M
57083803,05,M
57083802,50,M
57083801,30,M
57083800,PL,M
57083800,99,M
57083799,20,M
57083799,76,M
57083799,99,M
57083797,99,M
57083796,56,M
57083796,05,M
57083795,99,M
57083795,32,M
57083794,05,M
57083757,50,E
57083716,82,E
57083716,50,E
57083716,69,E
57083650,85,A
57083650,56,A
57083650,69,A
57083650,99,A
57083650,43,A
57083650,05,A
57083276,05,M
57083275,59,F
57083272,59,F
57083271,59,F
57083270,56,O
57083269,56,O
57083268,99,Q
57083267,99,A
57083266,05,A
57083265,07,E
57083264,40,E
57083263,43,D
57083262,95,A
57083261,99,M
57083260,05,Q
57083259,02,D
57083257,02,F
57083256,56,A
57083255,02,P
57083254,PL,M
57083253,85,A
57083253,50,A
57082896,02,M
57082895,02,M
57082893,99,M
57082892,PL,M
57082892,99,M
57082891,56,O
57082890,05,M
57082889,PL,M
57082888,88,M
57082888,99,M
57082887,99,M
57082887,07,M
57082886,30,M
57082886,99,M
57082885,05,M
57082885,50,M
57082884,05,M
57082883,46,M
57082883,68,M
57082882,50,A
57082882,02,A
57082881,56,M
57082881,85,M
57082880,07,M
57082879,02,M
57082878,05,M
57082877,99,O
57082877,56,O
57082877,37,O
57082526,07,U
57082526,54,U
57082524,TM,Q
57082523,PL,M
57082521,02,F
57082520,99,P
57082520,69,P
57082519,99,P
57082519,69,P
57082518,99,U
57082518,08,U
57082518,02,U
57082516,02,A
57082515,07,O
57082514,85,A
57082514,07,A
57082514,TO,A
57082514,TM,A
57082513,TN,O
57082513,TM,O
57082512,08,O
57082512,37,O
57082512,17,O
57082512,56,O
57082512,06,O
57082511,99,H
57082510,50,M
57082509,99,M
57082509,05,M
57082508,99,H
57082507,99,A
57082506,TC,M
57082505,99,M
57082505,30,M
57082504,63,H
57082504,50,H
57082503,20,H
57082503,30,H
57082502,56,H
57082002,80,M
57082001,01,M
57082001,37,M
57082001,43,M
57082001,99,M
57082001,68,M
57081503,01,U
57081502,CU,H
57081501,30,U
57081182,08,U
57081181,01,U
57081181,07,U
57081179,99,M
57081178,01,U
57081178,54,U
57081177,81,M
57081176,PL,M
57081175,94,H
57081175,01,H
57081175,50,H
57081175,70,H
57081174,05,M
57081172,02,F
57081171,02,M
57081168,OR,M
57081168,PL,M
57081167,99,M
57081166,88,M
57081166,05,M
57080977,11,M
57080977,52,M
57080618,55,H
57080618,50,H
57080618,07,H
57080618,56,H
57080618,99,H
57080618,01,H
57080618,25,H
57080490,08,M
57080490,20,M
57079405,52,U
57078273,30,M
57078271,99,M
57077898,30,Q
57077898,92,Q
57077762,99,M
57077757,08,U
57077755,70,M
57077751,83,A
57077744,01,U
57077738,OR,M
57077734,99,M
57077725,99,M
57077723,99,M
57077715,43,M
57077714,99,U
57077713,43,U
57077710,30,U
57077707,92,H
57077705,09,E
57077702,92,H
57077702,99,H
57077126,PL,M
57077124,78,M
57077119,33,A
57077116,43,A
57077112,99,A
57077111,07,D
57076728,CU,M
57076726,78,U
57076726,OR,U
57076726,56,U
57076726,52,U
57076723,52,Q
57076721,52,Q
57076719,56,D
57076716,99,F
57076712,43,M
57076711,99,M
57076710,92,M
57076709,56,H
57076709,08,H
57076709,17,H
57076317,99,M
57076316,CU,M
57076314,08,M
57076312,07,O
57076309,99,M
57076308,99,M
57076308,77,M
57076307,77,M
57076307,99,M
57076306,05,F
57076029,02,U
57076028,92,M
57076027,57,M
57076026,05,M
57076025,50,M
57076023,65,A
57076022,08,U
57076020,07,M
57076019,37,M
57076019,99,M
57076018,56,H
57076017,02,E
57076016,99,A
57076014,85,A
57076014,37,A
57076013,56,P
57076012,92,Q
57076011,52,M
57076010,02,U
57076009,TO,Q
57076008,80,M
57076006,16,E
57076005,91,O
57076004,60,A
57076003,02,E
57076002,92,D
57076001,76,Q
57076000,09,M
57075999,07,D
57075998,92,O
57075997,05,A
57075996,56,Q
57075995,68,A
57075993,95,O
57075993,56,O
57075992,02,A
57075991,08,U
57075990,69,P
57075989,05,A
57075988,91,A
57075988,25,A
57075988,50,A
57075987,99,M
57075986,TM,E
57075985,99,M
57075984,02,P
57075983,TM,A
57075982,99,M
57075982,08,M
57075981,78,M
57075980,15,U
57075979,05,M
57075978,99,M
57075977,30,U
57075976,99,M
57075975,52,Q
57075974,70,M
57075973,95,D
57075973,07,D
57075972,65,A
57075971,TM,A
57075970,56,A
57075970,83,A
57075970,05,A
57075969,30,U
57075968,35,M
57075967,99,M
57075966,70,M
57075965,99,M
57075965,05,M
57075964,20,D
57075963,09,A
57075962,61,A
57075962,08,A
57075961,30,M
57075960,99,O
57075960,02,O
57075960,69,O
57075959,56,H
57075958,56,M
57075957,57,M
57075956,92,H
57075955,11,M
57075954,99,M
57075953,05,Q
57075953,59,Q
57075952,99,M
57075951,CU,H
57075950,01,H
57075949,30,A
57075948,92,H
57075947,99,M
57075947,08,M
57075946,56,H
57075945,56,H
57075812,85,M
57075811,94,Q
57075810,88,M
57075809,92,M
57075809,30,M
57075808,28,M
57075806,43,M
57075805,57,M
57075804,91,M
57075804,11,M
57075803,99,Q
57075802,52,A
57075801,01,M
57075800,37,M
57075800,99,M
57075799,95,M
57075798,92,P
57075798,69,P
57075797,85,M
57075796,99,Q
57075795,TO,Q
57075794,37,M
57075794,09,M
57075793,90,M
57075793,37,M
57075793,99,M
57075792,38,M
57075792,01,M
57075791,09,M
57075791,48,M
57075790,09,M
57075790,43,M
57075789,77,M
57075788,43,M
57075788,99,M
57075787,70,M
57075787,05,M
57075787,99,M
57075786,TM,H
57075785,99,Q
57075149,85,A
57075148,TM,M
57075147,CU,M
57075146,52,D
57075144,94,D
57075143,69,O
57075142,01,U
57075141,94,F
57075139,78,M
57075139,56,M
57075138,09,M
57075138,99,M
57075137,09,M
57075136,56,O
57075135,92,E
57075134,OR,E
57075133,OR,E
57075132,43,Q
57074783,99,M
57074782,99,M
57074781,TU,M
57074780,95,F
57074779,02,F
57074778,65,M
57074778,14,M
57074777,99,Q
57074776,30,U
57074775,52,F
57074775,02,F
57074774,91,F
57074773,95,P
57074772,02,P
57074770,01,U
57074769,02,Q
57074768,69,Q
57074767,52,Q
57074766,95,Q
57074765,07,A
57074765,99,A
57074765,56,A
57074765,92,A
57074765,85,A
57074764,56,H
57074764,37,H
57074763,43,M
57074762,05,Q
57074761,95,O
57074760,07,D
57074760,92,D
57074760,56,D
57074759,52,H
57074758,30,H
57074757,07,A
57074756,08,H
57074756,70,H
57074756,56,H
57074436,01,U
57074435,43,H
57074435,56,H
57074434,08,M
57074433,05,M
57074432,08,M
57074431,99,M
57074430,05,M
57074430,30,M
57074430,99,M
57074429,02,M
57074426,85,E
57074425,08,U
57074424,09,M
57074423,94,E
57074422,99,Q
57074421,31,M
57074420,52,A
57074419,57,E
57074418,TO,E
57074417,70,M
57074417,99,M
57074416,TO,A
57074415,TM,H
57074414,TM,A
57074413,01,O
57074412,02,O
57074411,05,M
57074411,92,M
57074410,92,A
57074409,76,A
57074408,56,A
57074408,99,A
57074407,37,M
57074407,68,M
57074406,77,M
57074406,99,M
57074405,43,M
57074405,99,M
57074404,TO,H
57074403,99,H
57074403,30,H
57074402,09,D
57074401,01,M
57074401,99,M
57074401,56,M
57074400,TM,H
57074399,95,F
57074398,56,H
57074397,37,O
57074397,03,O
57074397,56,O
57074397,99,O
57074396,65,M
57074395,PL,Q
57074394,99,A
57074394,07,A
57074393,05,E
57074392,99,H
57074391,99,Q
57074390,99,Q
57074389,99,A
57074388,99,M
57074386,92,H
57074385,31,H
57074385,56,H
57074385,08,H
57074384,37,O
57074042,52,U
57074042,01,U
57074041,01,U
57074041,52,U
57074040,01,U
57074038,02,U
57074037,98,M
57074036,08,M
57074035,30,A
57074034,52,Q
57074033,09,M
57074032,30,U
57074031,01,U
57074030,08,P
57074029,99,M
57074029,01,M
57074028,01,M
57074028,99,M
57074027,02,O
57074026,56,A
57074024,99,A
57074023,99,M
57074022,99,A
57074021,50,A
57074020,45,A
57074019,83,A
57074019,56,A
57074018,85,Q
57074017,52,P
57074015,99,Q
57074014,99,Q
57074013,99,A
57074012,07,M
57074012,99,M
57074011,85,M
57074011,52,M
57074010,TC,M
57074009,99,M
57074008,56,M
57074008,43,M
57074007,99,M
57074006,56,Q
57074005,TN,A
57074005,TM,A
57074004,95,O
57074004,10,O
57074004,37,O
57074004,56,O
57073822,02,M
57073821,70,M
57073820,15,M
57073819,25,M
57073817,99,M
57073816,32,M
57073815,56,M
57073814,99,M
57073813,70,M
57073813,85,M
57073812,02,M
57073812,95,M
57073812,01,M
57073811,99,M
57073810,99,M
57073809,99,M
57073809,76,M
57073808,TM,M
57073807,65,M
57073807,99,M
57073806,05,M
57073805,14,M
57073805,05,M
57073804,99,M
57073803,05,M
57073802,99,M
57073801,90,M
57073801,99,M
57073799,99,M
57073798,05,M
57073797,56,O
57073797,92,O
57073795,05,M
57073276,20,M
57073275,43,M
57073274,02,F
57073273,02,A
57073272,99,Q
57073271,02,A
57073270,01,M
57073268,99,Q
57073267,08,A
57073266,05,A
57073265,TG,A
57073264,95,E
57073263,40,D
57073262,45,A
57073261,07,O
57073259,43,A
57073259,95,A
57073258,99,Q
57073257,56,O
57073256,99,Q
57073255,99,M
57073255,56,M
57073254,08,Q
57073254,37,Q
57073254,99,Q
57073253,52,O
57073253,15,O
57073253,99,O
57072895,83,E
57072894,02,M
57072894,70,M
57072893,TO,M
57072892,PL,M
57072891,88,M
57072890,05,M
57072889,OR,M
57072889,99,M
57072889,PL,M
57072887,99,M
57072887,46,M
57072887,90,M
57072886,46,M
57072885,99,M
57072885,69,M
57072884,07,D
57072884,48,D
57072884,56,D
57072884,94,D
57072882,99,M
57072881,05,M
57072881,46,M
57072880,07,M
57072879,02,M
57072878,TC,M
57072526,07,U
57072526,54,U
57072525,99,Q
57072524,56,E
57072523,85,E
57072523,50,E
57072522,56,E
57072522,85,E
57072521,94,O
57072520,50,E
57072519,99,U
57072519,02,U
57072519,08,U
57072518,99,Q
57072518,08,Q
57072518,52,Q
57072516,99,M
57072515,49,D
57072514,TN,D
57072514,TO,D
57072514,TM,D
57072514,TG,D
57072513,52,D
57072513,85,D
57072512,99,A
57072511,02,M
57072511,99,M
57072510,54,H
57072509,99,M
57072508,31,M
57072507,99,H
57072506,TC,M
57072505,99,M
57072505,30,M
57072504,OR,M
57072503,50,M
57072503,02,M
57072503,99,M
57072502,08,H
57072502,93,H
57072002,85,A
57072002,50,A
57072002,99,A
57072001,35,M
57072001,01,M
57072001,37,M
57072001,92,M
57071503,01,U
57071502,02,A
57071501,30,U
57071182,21,M
57071181,05,M
57071179,08,U
57071178,01,U
57071178,54,U
57071178,08,U
57071177,52,M
57071177,06,M
57071176,99,M
57071175,99,M
57071174,02,M
57071173,99,M
57071173,11,M
57071172,96,U
57071172,91,U
57071171,02,F
57071170,TM,A
57071168,OR,M
57071167,05,M
57071166,30,U
57071114,43,M
57070746,43,M
57070450,43,Q
57069406,52,U
57069215,52,Q
57069214,05,U
57069079,99,M
57069079,02,M
57068275,94,M
57068275,05,M
57068266,94,M
57068264,96,H
57068264,56,H
57067905,01,U
57067897,92,Q
57067897,08,Q
57067762,82,M
57067759,30,M
57067757,99,M
57067756,85,M
57067754,05,M
57067752,02,M
57067751,83,A
57067751,92,A
57067751,OR,A
57067747,PL,M
57067741,PL,M
57067735,CG,M
57067733,35,M
57067729,01,M
57067728,99,M
57067726,06,O
57067717,OR,M
57067716,99,A
57067715,43,M
57067714,92,M
57067713,43,U
57067711,99,U
57067711,01,U
57067702,99,M
57067702,43,M
57067702,02,M
57067125,78,M
57067124,02,M
57067122,TM,E
57067121,76,A
57067116,85,A
57067112,85,A
57067111,37,D
57067109,30,A
57066728,09,M
57066727,99,M
57066726,PL,M
57066725,43,Q
57066724,17,Q
57066723,TN,Q
57066722,02,F
57066721,35,F
57066720,02,D
57066719,99,A
57066718,02,U
57066716,94,M
57066715,99,D
57066712,37,A
57066711,09,M
57066710,99,M
57066316,85,F
57066315,78,F
57066314,05,A
